"ntree" "mtry" "region" "year" "accuracy"
"800" "10" "1" "2019" "0.9398"
"100" "20" "1" "2019" "0.9409"
"200" "20" "1" "2019" "0.9443"
"400" "20" "1" "2019" "0.949"
"800" "20" "1" "2019" "0.9536"
"100" "40" "1" "2019" "0.9434"
"200" "40" "1" "2019" "0.9385"
"400" "40" "1" "2019" "0.9465"
"800" "40" "1" "2019" "0.9437"
"100" "5" "1" "2020" "0.9388"
"200" "5" "1" "2020" "0.9346"
"400" "5" "1" "2020" "0.9362"
"800" "5" "1" "2020" "0.9245"
"100" "10" "1" "2020" "0.9386"
"200" "10" "1" "2020" "0.9322"
"400" "10" "1" "2020" "0.9424"
"800" "10" "1" "2020" "0.9337"
"100" "20" "1" "2020" "0.9365"
"200" "20" "1" "2020" "0.943"
"400" "20" "1" "2020" "0.9409"
"800" "20" "1" "2020" "0.9351"
"100" "40" "1" "2020" "0.9364"
"200" "40" "1" "2020" "0.9373"
"400" "40" "1" "2020" "0.9397"
"800" "40" "1" "2020" "0.9371"
"100" "5" "1" "2021" "0.9318"
"200" "5" "1" "2021" "0.9376"
"400" "5" "1" "2021" "0.9313"
"800" "5" "1" "2021" "0.9323"
"100" "10" "1" "2021" "0.935"
"200" "10" "1" "2021" "0.934"
"400" "10" "1" "2021" "0.9376"
"800" "10" "1" "2021" "0.9384"
"100" "20" "1" "2021" "0.9373"
"200" "20" "1" "2021" "0.9421"
"400" "20" "1" "2021" "0.9408"
"800" "20" "1" "2021" "0.9347"
"100" "40" "1" "2021" "0.9354"
"200" "40" "1" "2021" "0.9437"
"400" "40" "1" "2021" "0.9372"
"800" "40" "1" "2021" "0.9449"
"100" "5" "1" "2022" "0.9359"
"200" "5" "1" "2022" "0.9413"
"400" "5" "1" "2022" "0.9355"
"800" "5" "1" "2022" "0.9349"
"100" "10" "1" "2022" "0.9371"
"200" "10" "1" "2022" "0.9458"
"400" "10" "1" "2022" "0.9438"
"800" "10" "1" "2022" "0.9401"
"100" "20" "1" "2022" "0.9378"
"200" "20" "1" "2022" "0.9419"
"400" "20" "1" "2022" "0.9433"
"800" "20" "1" "2022" "0.9399"
"100" "40" "1" "2022" "0.9408"
"200" "40" "1" "2022" "0.9503"
"400" "40" "1" "2022" "0.9455"
"800" "40" "1" "2022" "0.9369"
"100" "5" "1" "2023" "0.944"
"200" "5" "1" "2023" "0.9417"
"400" "5" "1" "2023" "0.9348"
"800" "5" "1" "2023" "0.9375"
"100" "10" "1" "2023" "0.9365"
"200" "10" "1" "2023" "0.9373"
"400" "10" "1" "2023" "0.9447"
"800" "10" "1" "2023" "0.9409"
"100" "20" "1" "2023" "0.9463"
"200" "20" "1" "2023" "0.9456"
"400" "20" "1" "2023" "0.9373"
"800" "20" "1" "2023" "0.9331"
"100" "40" "1" "2023" "0.9445"
"200" "40" "1" "2023" "0.9446"
"400" "40" "1" "2023" "0.9442"
"800" "40" "1" "2023" "0.9457"
"100" "5" "2" "1985" "0.9275"
"200" "5" "2" "1985" "0.9325"
"400" "5" "2" "1985" "0.926"
"800" "5" "2" "1985" "0.9242"
"100" "10" "2" "1985" "0.9379"
"200" "10" "2" "1985" "0.9455"
"400" "10" "2" "1985" "0.9384"
"800" "10" "2" "1985" "0.9359"
"100" "20" "2" "1985" "0.9384"
