"","Prediction","Reference","Freq","region","year","file"
"371","4","4",348,12,1985,"mapbiomas_collection70_integration_v2"
"372","12","4",50,12,1985,"mapbiomas_collection70_integration_v2"
"373","21","4",66,12,1985,"mapbiomas_collection70_integration_v2"
"374","25","4",0,12,1985,"mapbiomas_collection70_integration_v2"
"375","33","4",0,12,1985,"mapbiomas_collection70_integration_v2"
"376","3","12",1,12,1985,"mapbiomas_collection70_integration_v2"
"377","4","12",7,12,1985,"mapbiomas_collection70_integration_v2"
"378","12","12",14,12,1985,"mapbiomas_collection70_integration_v2"
"379","21","12",4,12,1985,"mapbiomas_collection70_integration_v2"
"380","25","12",0,12,1985,"mapbiomas_collection70_integration_v2"
"381","33","12",0,12,1985,"mapbiomas_collection70_integration_v2"
"382","3","21",4,12,1985,"mapbiomas_collection70_integration_v2"
"383","4","21",39,12,1985,"mapbiomas_collection70_integration_v2"
"384","12","21",16,12,1985,"mapbiomas_collection70_integration_v2"
"385","21","21",127,12,1985,"mapbiomas_collection70_integration_v2"
"386","25","21",0,12,1985,"mapbiomas_collection70_integration_v2"
"387","33","21",0,12,1985,"mapbiomas_collection70_integration_v2"
"388","3","25",0,12,1985,"mapbiomas_collection70_integration_v2"
"389","4","25",0,12,1985,"mapbiomas_collection70_integration_v2"
"390","12","25",0,12,1985,"mapbiomas_collection70_integration_v2"
"391","21","25",6,12,1985,"mapbiomas_collection70_integration_v2"
"392","25","25",0,12,1985,"mapbiomas_collection70_integration_v2"
"393","33","25",0,12,1985,"mapbiomas_collection70_integration_v2"
"394","3","33",0,12,1985,"mapbiomas_collection70_integration_v2"
"395","4","33",0,12,1985,"mapbiomas_collection70_integration_v2"
"396","12","33",0,12,1985,"mapbiomas_collection70_integration_v2"
"397","21","33",0,12,1985,"mapbiomas_collection70_integration_v2"
"398","25","33",0,12,1985,"mapbiomas_collection70_integration_v2"
"399","33","33",2,12,1985,"mapbiomas_collection70_integration_v2"
"400","3","3",15,13,1985,"mapbiomas_collection70_integration_v2"
"401","4","3",5,13,1985,"mapbiomas_collection70_integration_v2"
"402","12","3",1,13,1985,"mapbiomas_collection70_integration_v2"
"403","21","3",0,13,1985,"mapbiomas_collection70_integration_v2"
"404","25","3",0,13,1985,"mapbiomas_collection70_integration_v2"
"405","33","3",0,13,1985,"mapbiomas_collection70_integration_v2"
"406","3","4",55,13,1985,"mapbiomas_collection70_integration_v2"
"407","4","4",393,13,1985,"mapbiomas_collection70_integration_v2"
"408","12","4",11,13,1985,"mapbiomas_collection70_integration_v2"
"409","21","4",11,13,1985,"mapbiomas_collection70_integration_v2"
"410","25","4",0,13,1985,"mapbiomas_collection70_integration_v2"
"411","33","4",0,13,1985,"mapbiomas_collection70_integration_v2"
"412","3","12",0,13,1985,"mapbiomas_collection70_integration_v2"
"413","4","12",77,13,1985,"mapbiomas_collection70_integration_v2"
"414","12","12",34,13,1985,"mapbiomas_collection70_integration_v2"
"415","21","12",4,13,1985,"mapbiomas_collection70_integration_v2"
"416","25","12",0,13,1985,"mapbiomas_collection70_integration_v2"
"417","33","12",0,13,1985,"mapbiomas_collection70_integration_v2"
"418","3","21",2,13,1985,"mapbiomas_collection70_integration_v2"
"419","4","21",16,13,1985,"mapbiomas_collection70_integration_v2"
"420","12","21",1,13,1985,"mapbiomas_collection70_integration_v2"
